VariableNumber,VariableName,VariableCode,AtmosLevelName,AtmosLevelCode,Units,file_type,time frame,24-hr summary
384,Planetary Boundary Layer Height,HPBL,surface,surface,m,grib2,anl,max
321,Temperature,TMP,2 m above ground,2 m above ground,K,grib2,anl,max
321,Temperature,TMP,2 m above ground,2 m above ground,K,grib2,anl,mean
324,Relative Humidity,RH,2 m above ground,2 m above ground,%,grib2,anl,mean
323,Dew Point Temperature,DPT,2 m above ground,2 m above ground,K,grib2,anl,mean
326,Total Precipitation,APCP,surface,surface,kg/m^2,grib2,0-0 day acc fcst,sum
316,Water Equivalent of Accumulated Snow Depth,WEASD,surface,surface,kg/m^2,grib2,anl,sum
317,Snow Cover,SNOWC,surface,surface,%,grib2,anl,max
325.1,U-Component of Wind,UGRD,10 m above ground,10 m above ground,m/s,grib2,anl,mean
325.2,V-Component of Wind,VGRD,10 m above ground,10 m above ground,m/s,grib2,anl,mean
1,Pressure Reduced to MSL,PRMSL,mean sea level,mean sea level,Pa,grib2,anl,mean
297,Pressure,PRES,surface,surface,Pa,grib2,anl,mean
246,Vertical Velocity (Geometric),DZDT,850 mb,850 mb,m/s,grib2,anl,mean
203,Vertical Velocity (Geometric),DZDT,700 mb,700 mb,m/s,grib2,anl,mean
369,Planetary Boundary Layer Height,HPBL,surface,sfc,m,grib1,anl,max
6,Temp.,TMP,2 m above gnd,2 m above gnd,K,grib1,anl,max
6,Temp.,TMP,2 m above gnd,2 m above gnd,K,grib1,anl,mean
8,Relative humidity,RH,2 m above gnd,2 m above gnd,%,grib1,anl,mean
7,Dew point temp.,DPT,2 m above gnd,2 m above gnd,K,grib1,anl,mean
11,Total precipitation,APCP,sfc,sfc,kg/m^2,grib1,0-0hr acc,sum
361,Accum. snow,WEASD,sfc,sfc,kg/m^2,grib1,anl,sum
375,Snow cover,SNOWC,sfc,sfc,%,grib1,anl,max
9,u wind,UGRD,10 m above gnd,10 m above gnd,m/s,grib1,anl,mean
10,v wind,VGRD,10 m above gnd,10 m above gnd,m/s,grib1,anl,mean
2,Pressure reduced to MSL,PRMSL,MSL,MSL,Pa,grib1,anl,mean
3,Pressure,PRES,sfc,sfc,Pa,grib1,anl,mean
423,Geometric vertical velocity,DZDT,850 mb,850 mb,m/s,grib1,anl,mean
417,Geometric vertical velocity,DZDT,700 mb,700 mb,m/s,grib1,anl,mean